 
   Muon radiative energy loss (in 1.0E06 cm^2/g)
   in liquid argon (Ar)
   with Z =  18, A = 39.948(1)
   (f12.0,4f12.4)
     E (GeV)      b_brem      b_pair      b_nucl     b_total
          2.      0.5769      0.2739      0.4243      1.2751
          5.      0.7858      0.6717      0.4518      1.9093
         10.      0.9557      0.9880      0.4410      2.3847
         20.      1.1312      1.3207      0.4231      2.8750
         50.      1.3641      1.7955      0.4033      3.5629
        100.      1.5331      2.1233      0.3937      4.0501
        200.      1.6910      2.4253      0.3890      4.5054
        500.      1.8741      2.7149      0.3887      4.9777
       1000.      1.9885      2.8744      0.3950      5.2579
       2000.      2.0806      2.9923      0.4052      5.4781
       5000.      2.1696      3.0924      0.4239      5.6859
      10000.      2.2154      3.1395      0.4427      5.7976
      20000.      2.2478      3.1693      0.4646      5.8817
      50000.      2.2730      3.1935      0.4987      5.9652
     100000.      2.2852      3.2033      0.5279      6.0165
